COURSE_CODE,ACTIVE,LEARNING_OUTCOME
ds6040,TRUE,Use univariate conjugate priors to analytically obtain the posterior distribution
ds6040,TRUE,Use multivariate conjugate priors to analytically obtain the posterior distribution
ds6040,TRUE,Use non-informative priors to analytically obtain the posterior distribution
ds6040,TRUE,Formulate real problems using the fundamentals of statistical decision theory
ds6040,TRUE,Apply the principles of statistical decision theory to obtain the optimal solutions to classification problems
ds6040,TRUE,Develop approximate solutions when the required assumptions for optimality in classification are not met
ds6040,TRUE,Apply the principles of statistical decision theory to obtain the optimal solutions to regression problems
ds6040,TRUE,Formulate a graphical representation of a joint distribution using nodes to represent conditional probabilities
ds6040,TRUE,Display Bayesian models using graphs
ds6040,TRUE,Represent generative models using graphs
ds6040,TRUE,Apply graphical methods to real problems in text analysis
ds6040,TRUE,Apply simple sampling methods to approximate distributions
ds6040,TRUE,Devise Markov models for real problems with conditional dependence
ds6040,TRUE,Formulate the Markov Chain Monte Carlo (MCMC) approaches to sampling
ds6040,TRUE,Apply MCMC to real and complex problems in Bayesian inference
ds6040,TRUE,Apply MCMC to real and complex problems in classifications.
ds6040,TRUE,Apply MCMC to real and complex problems in regressions
ds6040,TRUE,Use Bayes factors for model selection
ds6040,TRUE,Formulate and use hierarchical models on real problems
ds6040,TRUE,Use information criteria for model selection
ds6040,TRUE,Formulate and use Bayesian model averaging on real problems
ds6040,TRUE,Apply the expectation-maximization (EM) algorithm to problems in unsupervised learning
ds6040,TRUE,Formulate problems with latent variables
ds6040,TRUE,Formulate problems for solution by the EM algorithm
ds6040,TRUE,Use Laplacian approximation to estimate probabilities in complex problems
ds6040,TRUE,Formulate a variational approximation for a Bayesian inference problem
ds6040,TRUE,Apply variational inference to problems with analytic solutions for comparisons of results
ds6040,TRUE,Represent variational inference using the EM algorithm
ds6040,TRUE,Use optimization methods to obtain solutions for variational approximations to real problems
ds6040,TRUE,Apply evaluation methods to assess the performance of optimizations to obtain variational approximations
ds6040,TRUE,Apply Markov random field models to represent problems in Bayesian machine learning
ds6040,TRUE,Formulate Hidden Markov Model (HMM) solution strategies
ds6040,TRUE,Apply HMMs to problems in data science
ds6040,TRUE,Identify the range of applicability of methods from Bayesian machine learning to real problems in data science.
ds6040,TRUE,Connect the many concepts discussed in the course to provide a foundation for continued learning
ds6050,TRUE,"Create an end-to-end machine learning project at scale using open-source libraries such as NumPy, Keras, TensorFlow, and Google Cloud"
ds6050,TRUE,"Formulate various supervised, unsupervised, and reinforcement learning models"
ds6050,TRUE,"Apply practical skill sets on designing, deploying, and analyzing deep network architectures on complex real-world problems"
ds6050,TRUE,"Use NumPy to describe, identify, and process multi-dimensional arrays and matrices."
ds6050,TRUE,Identify the components of linear algebra most relevant to deep learning.
ds6050,TRUE,Summarize numerical concerns for implementations of deep learning algorithms.
ds6050,TRUE,Design a simple architecture of a multilayer perceptron (MLP).
ds6050,TRUE,Understand how to design different activation functions to solve the vanishing/exploding gradient problem
ds6050,TRUE,"Formulate several forms of regularization strategies to create a large, deep, regularized model"
ds6050,TRUE,Review applications of convolutional neural networks (CNNs)
ds6050,TRUE,Study the basics of recurrent neural networks (RNNs)
ds6050,TRUE,Explore the shortcomings of basic RNNs and how to alleviate them with long short-term memory (LSTM) cells
ds6050,TRUE,Investigate in-depth how autoencoders work and how to use them for dimensionality reduction and feature extraction
ds6050,TRUE,Interpret hidden latent variables using perturbation and generate new examples
ds6050,TRUE,"Explain the training process of adversarial neural networks (GANs), where two neural networks compete against each other, and its difficulties"
ds6050,TRUE,Explore various applications of GANs and their recent advances
ds6050,TRUE,Explore the basic components of reinforcement learning (RL) including the Markov decision process (MDP)
ds6050,TRUE,Learn to solve for the optimal state-action value by using Q-Learning and Deep Q-Networks (DQNs)
ds6050,TRUE,"Examine policy gradients (PGs) to directly optimize the policy, as well as a hybrid method called actor critic advantage"
ds6050,TRUE,Understand how to deploy models to TF Serving and then scale up to Google Cloud AI Platform
ds6050,TRUE,"Deploy models to mobile apps, embedded devices, and web apps"
ds6050,TRUE,Understand how adversarial attacks work
ds6050,TRUE,Explore bias in data and algorithms
ds6050,TRUE,Analyze the issues in uncertainty estimation
ds_biz_analytics,TRUE,"Understand the fundamentals of modern business with an emphasis on stakeholders, value-creation, industries, markets, and competition"
ds_biz_analytics,TRUE,"Apply data science tools to the primary business functions in which they may be working: strategy, sales, marketing, finance, operations, human resources and technology"
ds_biz_analytics,TRUE,"Understand key data sources, models, metrics, and tools that will be critical to their success during their careers, as they work in or support each of these business areas."
ds_biz_analytics,TRUE,"Apply ethical data science principles to key business functions (e.g., finance, marketing, etc)"
ds_biz_analytics,TRUE,"Use critical thinking skills to understand, analyze, or solve business problems"
ds_biz_analytics,TRUE,Communicate effectively in both speech and writing
ds_biz_analytics,TRUE,Collaborate effectively with peers
ds_biz_analytics,TRUE,Formulate and ask insightful questions
ds_biz_analytics,TRUE,Engage appropriately with senior executives at an enterprise level
